change_id,commit,status,old_path,path,additions,deletions,training_eligibility
CWTV-GITCHG-000001,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,.editorconfig,18,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000002,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,.env.example,19,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000003,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,.gitattributes,19,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000004,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,.gitignore,83,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000005,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,README.md,86,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000006,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,docs/blueprints/CineWatch_Tv_V1_Blueprint_001.md,1477,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000007,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,docs/blueprints/CineWatch_Tv_V1_Blueprint_001.pdf,,,REFERENCE_ONLY
CWTV-GITCHG-000008,56c4ffd711615d94a50d213387a74ce5acd36d09,A,,docs/governance/CineWatch_TV_V1_API_Content_Rights_Qualification_Register_001.md,452,0,TRAINING_REVIEW_REQUIRED
CWTV-GITCHG-000009,fd6e8855b4ddd80feba561bfb22c47380a618f85,A,,docs/architecture/CineWatch_TV_V1_Engineering_Architecture_Selection_001.md,377,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000010,d050344387a963e0c3336a010fcef1ab7644eadd,M,,.editorconfig,1,1,TRAINING_ELIGIBLE
CWTV-GITCHG-000011,d050344387a963e0c3336a010fcef1ab7644eadd,A,,.npmrc,4,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000012,d050344387a963e0c3336a010fcef1ab7644eadd,A,,.nvmrc,1,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000013,d050344387a963e0c3336a010fcef1ab7644eadd,A,,.python-version,1,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000014,d050344387a963e0c3336a010fcef1ab7644eadd,M,,README.md,36,19,TRAINING_ELIGIBLE
CWTV-GITCHG-000015,d050344387a963e0c3336a010fcef1ab7644eadd,A,,apps/web/README.md,7,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000016,d050344387a963e0c3336a010fcef1ab7644eadd,A,,apps/web/package.json,12,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000017,d050344387a963e0c3336a010fcef1ab7644eadd,A,,docs/architecture/CineWatch_TV_V1_Repository_Tree_and_Toolchain_Foundation_001.md,182,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000018,d050344387a963e0c3336a010fcef1ab7644eadd,A,,docs/architecture/decisions/CWTV_ADR_0001_Repository_Service_Boundary_Naming.md,44,0,TRAINING_ELIGIBLE
CWTV-GITCHG-000019,d050344387a963e0c3336a010fcef1ab7644eadd,A,,package-lock.json,47,0,REFERENCE_ONLY
