dependency_id,source_path,dependency,dependency_kind,specifier,line
CWTV-DEP-000001,.github/workflows/ci.yml,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,github_action,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,111
CWTV-DEP-000002,.github/workflows/ci.yml,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,github_action,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,32
CWTV-DEP-000003,.github/workflows/ci.yml,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,github_action,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,123
CWTV-DEP-000004,.github/workflows/ci.yml,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,github_action,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,45
CWTV-DEP-000005,.github/workflows/ci.yml,actions/setup-python@5fda3b95a4ea91299a34e894583c3862153e4b97,github_action,actions/setup-python@5fda3b95a4ea91299a34e894583c3862153e4b97,116
CWTV-DEP-000006,.github/workflows/ci.yml,actions/setup-python@5fda3b95a4ea91299a34e894583c3862153e4b97,github_action,actions/setup-python@5fda3b95a4ea91299a34e894583c3862153e4b97,38
CWTV-DEP-000007,apps/web/next-env.d.ts,./.next/types/root-params.d.ts,js_side_effect_import,,4
CWTV-DEP-000008,apps/web/next-env.d.ts,./.next/types/routes.d.ts,js_side_effect_import,,3
CWTV-DEP-000009,apps/web/next.config.ts,next,js_import,,1
CWTV-DEP-000010,apps/web/package.json,@cinewatch/contracts,npm_dependencies,0.0.0,
CWTV-DEP-000011,apps/web/package.json,@types/node,npm_devDependencies,24.13.3,
CWTV-DEP-000012,apps/web/package.json,@types/react,npm_devDependencies,19.2.18,
CWTV-DEP-000013,apps/web/package.json,@types/react-dom,npm_devDependencies,19.2.7,
CWTV-DEP-000014,apps/web/package.json,eslint,npm_devDependencies,9.39.5,
CWTV-DEP-000015,apps/web/package.json,eslint-config-next,npm_devDependencies,16.3.4,
CWTV-DEP-000016,apps/web/package.json,next,npm_dependencies,16.3.4,
CWTV-DEP-000017,apps/web/package.json,react,npm_dependencies,19.2.8,
CWTV-DEP-000018,apps/web/package.json,react-dom,npm_dependencies,19.2.8,
CWTV-DEP-000019,apps/web/package.json,typescript,npm_devDependencies,6.0.3,
CWTV-DEP-000020,apps/web/src/app/brand-qualification/page.tsx,./brand-qualification.module.css,js_import,,4
CWTV-DEP-000021,apps/web/src/app/brand-qualification/page.tsx,next,js_import,,2
CWTV-DEP-000022,apps/web/src/app/brand-qualification/page.tsx,next/navigation,js_import,,3
CWTV-DEP-000023,apps/web/src/app/layout.tsx,./globals.css,js_side_effect_import,,5
CWTV-DEP-000024,apps/web/src/app/layout.tsx,@/lib/config/public-env,js_import,,3
CWTV-DEP-000025,apps/web/src/app/layout.tsx,next,js_import,,1
CWTV-DEP-000026,apps/web/src/app/layout.tsx,react,js_import,,2
CWTV-DEP-000027,apps/web/src/app/manifest.ts,next,js_import,,1
CWTV-DEP-000028,apps/web/src/app/robots.ts,next,js_import,,1
CWTV-DEP-000029,apps/web/src/lib/api/system-client.ts,@/lib/config/public-env,js_import,,2
CWTV-DEP-000030,apps/web/src/lib/api/system-client.ts,@cinewatch/contracts,js_import,,1
CWTV-DEP-000031,packages/contracts/package.json,openapi-typescript,npm_devDependencies,7.13.0,
CWTV-DEP-000032,packages/contracts/src/index.d.ts,./generated/openapi,js_import,,1
CWTV-DEP-000033,packages/contracts/src/index.d.ts,./generated/openapi,js_import,,2
CWTV-DEP-000034,scripts/bootstrap_engineering_chronicle.py,__future__,python_import_from,,4
CWTV-DEP-000035,scripts/bootstrap_engineering_chronicle.py,argparse,python_import,,6
CWTV-DEP-000036,scripts/bootstrap_engineering_chronicle.py,chronicle_core,python_import_from,,12
CWTV-DEP-000037,scripts/bootstrap_engineering_chronicle.py,pathlib,python_import_from,,9
CWTV-DEP-000038,scripts/bootstrap_engineering_chronicle.py,subprocess,python_import,,7
CWTV-DEP-000039,scripts/bootstrap_engineering_chronicle.py,sys,python_import,,8
CWTV-DEP-000040,scripts/bootstrap_engineering_chronicle.py,typing,python_import_from,,10
CWTV-DEP-000041,scripts/build_nexvox_engineering_corpus.py,__future__,python_import_from,,2
CWTV-DEP-000042,scripts/build_nexvox_engineering_corpus.py,argparse,python_import,,4
CWTV-DEP-000043,scripts/build_nexvox_engineering_corpus.py,ast,python_import,,5
CWTV-DEP-000044,scripts/build_nexvox_engineering_corpus.py,collections,python_import_from,,15
CWTV-DEP-000045,scripts/build_nexvox_engineering_corpus.py,csv,python_import,,6
CWTV-DEP-000046,scripts/build_nexvox_engineering_corpus.py,dataclasses,python_import_from,,16
CWTV-DEP-000047,scripts/build_nexvox_engineering_corpus.py,datetime,python_import_from,,17
CWTV-DEP-000048,scripts/build_nexvox_engineering_corpus.py,hashlib,python_import,,7
CWTV-DEP-000049,scripts/build_nexvox_engineering_corpus.py,io,python_import,,8
CWTV-DEP-000050,scripts/build_nexvox_engineering_corpus.py,json,python_import,,9
CWTV-DEP-000051,scripts/build_nexvox_engineering_corpus.py,os,python_import,,10
CWTV-DEP-000052,scripts/build_nexvox_engineering_corpus.py,pathlib,python_import_from,,18
