version_id,commit,commit_sequence,status,path,blob_sha,sha256,bytes,line_count,training_eligibility,eligibility_reason
CWTV-FVER-000001,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,.editorconfig,d91a18cdee4c3bee98db2f9ccac86955713a6e34,1779e61b8c5d3f0a4806c26100b33e40c12ca0226a8e094c6b65b5eb02b73d60,285,18,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000002,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,.env.example,c5bb1907e1ecf13b2300a55cc5dc7bb5f4feedb1,6f4221b2105e934c423060451a4f1cd9015cc7eabdfddfe0b25114c6f263dc15,580,19,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000003,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,.gitattributes,9c975cdbd2edde393517ce4d52b2ea8aa3c4562d,558f099fc44a26c2c4817ac26c0095c9d1d010a5cf47cfea60b8d304f3e46ad8,338,19,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000004,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,.gitignore,8056a2dd6038c18ca4107df735d9185c85e9ba25,b1c9b271218954a83f8d13a4495ebc532ad6f679e33f72fe71eb47e33c35c355,848,83,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000005,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,README.md,57888c0fd660667eab89644cb887ba008fe7b212,8b6a7d631576e7bf358ac8414c50943daf63e1142abb2e6abbeda1db8793c287,4261,86,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000006,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,docs/blueprints/CineWatch_Tv_V1_Blueprint_001.md,a25e92a4e32599de4bb1c68c5d4460eb518dd462,f3c2ff7ec21de3998605e1a69fb42f7ade891ca6e2fdc3bdea11b46efc389994,35606,1477,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000007,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,docs/blueprints/CineWatch_Tv_V1_Blueprint_001.pdf,53bd5db0af9716943ecf8e432cdeb230edcd89b7,11be70aa7519ed32128343f862e15deb969744306155b0cf92edcb131a66cdb3,234471,,REFERENCE_ONLY,canonical/reference/generated artifact retained for provenance but excluded from training text
CWTV-FVER-000008,56c4ffd711615d94a50d213387a74ce5acd36d09,1,A,docs/governance/CineWatch_TV_V1_API_Content_Rights_Qualification_Register_001.md,3ad61e3426d4f54ce6686e19a79f926262af35f6,9cbb3d718b888d4a1b259b75ff73a5a298eaff02286e9fc31e34e8c3c3116dc8,14997,452,TRAINING_REVIEW_REQUIRED,contains external/provider research or rights evidence requiring record-level review
CWTV-FVER-000009,fd6e8855b4ddd80feba561bfb22c47380a618f85,2,A,docs/architecture/CineWatch_TV_V1_Engineering_Architecture_Selection_001.md,b44dd3113c21d372670f0ea12733aeb74e0c7184,d474ecbe11dada2566fadec8d583ee0105de4b20c70882f24ec4abd919cc7dd0,13637,377,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000010,d050344387a963e0c3336a010fcef1ab7644eadd,3,M,.editorconfig,89ec8d46c5f8139fda0d8b2eb8508c6c94d5169a,b5d47ae054588234e5fd91512b639b629c0425649fdfe102aae606f172e8e4e5,284,18,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
CWTV-FVER-000011,d050344387a963e0c3336a010fcef1ab7644eadd,3,A,.npmrc,4b5b2197dc15bcb9361519ad8c09ad8917b15aa3,3bb96a1a78db16d68bba21839331014b71697da669718bde6644bf736fdf5068,64,4,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation"
