symbol_id,path,symbol,kind,line,training_eligibility
CWTV-SYM-000001,apps/web/src/app/error.tsx,ErrorBoundary,function,2,TRAINING_ELIGIBLE
CWTV-SYM-000002,apps/web/src/app/global-error.tsx,GlobalError,function,2,TRAINING_ELIGIBLE
CWTV-SYM-000003,apps/web/src/app/layout.tsx,RootLayout,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000004,apps/web/src/app/loading.tsx,Loading,function,1,TRAINING_ELIGIBLE
CWTV-SYM-000005,apps/web/src/app/manifest.ts,manifest,function,2,TRAINING_ELIGIBLE
CWTV-SYM-000006,apps/web/src/app/not-found.tsx,NotFound,function,1,TRAINING_ELIGIBLE
CWTV-SYM-000007,apps/web/src/app/page.tsx,HomePage,function,1,TRAINING_ELIGIBLE
CWTV-SYM-000008,apps/web/src/app/robots.ts,robots,function,2,TRAINING_ELIGIBLE
CWTV-SYM-000009,apps/web/src/lib/api/system-client.ts,getApiHealth,function,20,TRAINING_ELIGIBLE
CWTV-SYM-000010,apps/web/src/lib/api/system-client.ts,getApiStatus,function,24,TRAINING_ELIGIBLE
CWTV-SYM-000011,apps/web/src/lib/api/system-client.ts,fetchJson,function,4,TRAINING_ELIGIBLE
CWTV-SYM-000012,apps/web/src/lib/config/public-env.ts,getPublicApiBaseUrl,function,14,TRAINING_ELIGIBLE
CWTV-SYM-000013,apps/web/src/lib/config/public-env.ts,getPublicSiteUrl,function,22,TRAINING_ELIGIBLE
CWTV-SYM-000014,apps/web/src/lib/config/public-env.ts,parsePublicHttpUrl,function,3,TRAINING_ELIGIBLE
CWTV-SYM-000015,docs/progress/dashboard/dashboard.js,renderSummary,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000016,docs/progress/dashboard/dashboard.js,renderMilestones,function,47,TRAINING_ELIGIBLE
CWTV-SYM-000017,docs/progress/dashboard/dashboard.js,renderDifficulty,function,79,TRAINING_ELIGIBLE
CWTV-SYM-000018,docs/progress/dashboard/dashboard.js,renderTiming,function,140,TRAINING_ELIGIBLE
CWTV-SYM-000019,docs/progress/dashboard/dashboard.js,renderFailures,function,159,TRAINING_ELIGIBLE
CWTV-SYM-000020,docs/progress/dashboard/dashboard.js,renderArtifacts,function,176,TRAINING_ELIGIBLE
CWTV-SYM-000021,docs/progress/dashboard/dashboard.js,renderCommits,function,193,TRAINING_ELIGIBLE
CWTV-SYM-000022,docs/progress/dashboard/dashboard.js,renderTimeline,function,203,TRAINING_ELIGIBLE
CWTV-SYM-000023,docs/progress/dashboard/dashboard.js,setupRevealAnimations,function,218,TRAINING_ELIGIBLE
CWTV-SYM-000024,docs/progress/dashboard/dashboard.js,renderAll,function,244,TRAINING_ELIGIBLE
CWTV-SYM-000025,packages/contracts/src/generated/openapi.d.ts,paths,interface,5,REFERENCE_ONLY
CWTV-SYM-000026,packages/contracts/src/generated/openapi.d.ts,components,interface,60,REFERENCE_ONLY
CWTV-SYM-000027,packages/contracts/src/generated/openapi.d.ts,operations,interface,105,REFERENCE_ONLY
